Date;Constituent Name;ISIN;Market Cap;ESG Score;ESG Grade;Economic Sector
01.01.2015;BASF SE ORD;DE000BASF111;64183291137;88.6092;A;Basic Materials
01.01.2015;INFINEON TECHNOLOGIES ORD;DE0006231004;9974853489;73.1746;B+;Technology
01.01.2015;SIEMENS ORD;DE0007236101;74454961875;82.8619;A-;Industrials
01.01.2015;E.ON ORD;DE000ENAG999;24915507528;79.5292;A-;Utilities
01.01.2015;DEUTSCHE BANK ORD;DE0005140008;34461157431;81.1456;A-;Financials
01.01.2015;LINDE ORD;DE0006483001;NULL;75.1941;A-;Basic Materials
01.01.2015;SAP SE ORD;DE0007164600;71181583119;88.6184;A;Technology
01.01.2015;BAYER AG;DE000BAY0017;93445106525;73.8516;B+;Healthcare
01.01.2015;RWE ST A ORD;DE0007037129;14076499582;72.8186;B+;Utilities
01.01.2015;HENKEL& KGAA PRF;DE0006048432;36829304468;78.2966;A-;Basic Materials
01.01.2015;DT TELEKOM N;DE0005557508;60096319023;73.6239;B+;Technology
01.01.2015;MERCK ORD;DE0006599905;34095281193;74.9583;B+;Healthcare
01.01.2015;VOLKSWAGEN PRF;DE0007664039;86501125135;83.9479;A;Consumer Cyclicals
01.01.2015;BMW AG;DE0005190003;57738357810;86.2767;A;Consumer Cyclicals
01.01.2015;BEIERSDORF ORD;DE0005200000;16989840000;55.8792;B-;Consumer Non-Cyclicals
01.01.2015;HEIDELBGCEMENT ORD;DE0006047004;11051368012;78.0904;A-;Basic Materials
01.01.2015;FRESENIUS MEDICAL CARE ORD;DE0005785802;19232145490;66.431;B;Healthcare
01.01.2015;FRESENIUS SE ORD;DE0005785604;23369726035;51.8696;B-;Healthcare
01.01.2015;DEUTSCHE POST ORD;DE0005552004;32756370186;78.0978;A-;Industrials
01.01.2015;ALLIANZ SE ORD;DE0008404005;62768950000;86.1179;A;Financials
01.01.2015;LUFTHANSA ORD;DE0008232125;6400137357;65.5485;B;Industrials
01.01.2015;MUNICH RE ORD;DE0008430026;28665238934;71.9656;B+;Financials
01.01.2015;CONTINENTAL ORD;DE0005439004;23868626809;80.2495;A-;Consumer Cyclicals
01.01.2015;ADIDAS ORD;DE000A1EWWW0;12055036637;86.7152;A;Consumer Cyclicals
01.01.2015;DAIMLER ORD;DE0007100000;61799967853;90.8803;A;Consumer Cyclicals
01.01.2015;THYSSEN-KRUPP ORD;DE0007500001;9037609088;61.1162;B;Basic Materials
01.01.2015;COMMERZBANK KONV;DE000CBK1001;12500806212;67.0983;B+;Financials
01.01.2015;LANXESS/d;DE0005470405;3519514504;67.2364;B+;Basic Materials
01.01.2015;K S NA/d;DE000KSAG888;4385931000;52.4002;B-;Basic Materials
01.01.2015;DT BOERSE N/d;DE0005810055;11429460000;64.5265;B;Financials
