Date;Constituent Name;ISIN;Market Cap;ESG Score;ESG Grade;Economic Sector
01.01.2015;EXXON ORD;US30231G1022;3.88E+11;74.72;B+;Energy
01.01.2015;GENERAL DYNAMICS ORD;US3695501086;45712423029;40.18;C;Industrials
01.01.2015;ABBOTT LABS ORD;US0028241000;67790692182;73.81;B+;Healthcare
01.01.2015;COSTCO WHOLESALE ORD;US22160K1051;55349835104;69.69;B+;Consumer Cyclicals
01.01.2015;CHEVRON TEXACO ORD;US1667641005;2.12E+11;72.48;B+;Energy
01.01.2015;HOME DEPOT ORD;US4370761029;1.38E+11;62.85;B;Consumer Cyclicals
01.01.2015;MONDELEZ INTERNATIONAL INC;US6092071058;61023209150;78.12;A-;Consumer Non-Cyclicals
01.01.2015;JOHNSON&JOHNSON ORD;US4781601046;2.93E+11;89.87;A;Healthcare
01.01.2015;QUALCOMM ORD;US7475251036;1.23E+11;77.76;A-;Technology
01.01.2015;UNION PACIFIC U ORD;US9078181081;1.06E+11;57.87;B-;Industrials
01.01.2015;HALLIBURTON ORD;US4062161017;33330613324;68.39;B+;Energy
01.01.2015;BOEING U ORD;US0970231058;92666701061;73.87;B+;Industrials
01.01.2015;CONOCOPHILLIPS ORD;US20825C1045;85006842940;81.09;A-;Energy
01.01.2015;CISCO-T ORD;US17275R1023;1.42E+11;80.64;A-;Technology
01.01.2015;ALPHABET INC-CL A ORD;US02079K3059;3.59E+11;43.58;C+;Technology
01.01.2015;WALT DISNEY ORD;US2546871060;1.60E+11;60.83;B;Consumer Cyclicals
01.01.2015;CAPITAL ONE FINANCIAL ORD;US14040H1059;45515193178;45.08;C+;Financials
01.01.2015;TARGET ORD;US87612E1064;48351966465;80.17;A-;Consumer Cyclicals
01.01.2015;BIOGEN INC;US09062X1037;73838175979;56.19;B-;Healthcare
01.01.2015;FACEBOOK CL A ORD;US30303M1027;2.18E+11;32.38;C-;Technology
01.01.2015;GENERAL ELECTRIC ORD;US3696043013;1.52E+11;80.99;A-;Industrials
01.01.2015;GENERAL MOTORS ORD;US37045V1008;56089767379;54.34;B-;Consumer Cyclicals
01.01.2015;THE GOLDMAN SACHS GROUP ORD;US38141G1040;84421789886;59.78;B;Financials
01.01.2015;AMAZON.COM INC ORD;US0231351067;1.44E+11;49.81;C+;Consumer Cyclicals
01.01.2015;SOUTHERN ORD;US8425871071;44493660000;48.01;C+;Utilities
01.01.2015;CVS HEALTH CORP;US1266501006;1.10E+11;89.16;A;Healthcare
01.01.2015;EMERSON ELECTRIC ORD;US2910111044;42732444471;38.41;C;Industrials
01.01.2015;UNITED PARCEL SERVICE-CL B ORD;US9113121068;1.01E+11;57.98;B-;Industrials
01.01.2015;CATERPILLAR ORD;US1491231015;55482425145;68.32;B+;Industrials
01.01.2015;METLIFE ORD;US59156R1086;54559942275;49;C+;Financials
01.01.2015;EI D P DE NEMOUR ORD;US2635341090;NULL;72.4;B+;Consumer Non-Cyclicals
01.01.2015;PFIZER ORD;US7170811035;1.86E+11;68.29;B+;Healthcare
01.01.2015;ACCENTURE PLC-A ORD;IE00B4BNMY34;59346197687;72.91;B+;Technology
01.01.2015;MICROSOFT-T ORD;US5949181045;3.83E+11;92.28;A+;Technology
01.01.2015;3M ORD;US88579Y1010;87257231981;90;A;Consumer Non-Cyclicals
01.01.2015;PROCTERGAMBLE ORD;US7427181091;2.46E+11;59.56;B;Consumer Non-Cyclicals
01.01.2015;SIMON PROPERTY GROUP REIT;US8288061091;57229751107;37.32;C;Real Estate
01.01.2015;STARBUCKS-T ORD;US8552441094;61398015000;83.35;A;Consumer Cyclicals
01.01.2015;JPMORGAN CHASE ORD;US46625H1005;2.34E+11;71.38;B+;Financials
01.01.2015;MASTERCARD ORD;US57636Q1040;1.00E+11;59.82;B;Technology
01.01.2015;TEXAS INSTRUMENTS ORD;US8825081040;56475076666;83.6;A;Technology
01.01.2015;WALGREENS BOOTS ALLIANCE INC;US9314271084;83056153369;53;B-;Consumer Non-Cyclicals
01.01.2015;COLGATE-PALMOLIVE CO ORD;US1941621039;63059649622;74.37;B+;Consumer Non-Cyclicals
01.01.2015;AMERICAN INTERNATIONAL GROUP ORD;US0268747849;77064159000;46.21;C+;Financials
01.01.2015;BRISTOL-MYERS SQUIBB ORD;US1101221083;97917576264;69.47;B+;Healthcare
01.01.2015;VISA INCORPORATION ORD;US92826C8394;1.62E+11;20.65;D+;Industrials
01.01.2015;FEDEX ORD;US31428X1063;49200069589;63.23;B;Industrials
01.01.2015;UNITEDHEALTH GRP ORD;US91324P1021;97025284018;12.45;D;Healthcare
01.01.2015;BANK OF NEW YORK MELLON ORD;US0640581007;46341082500;60.22;B;Financials
01.01.2015;EXELON ORD;US30161N1019;22724698931;68.22;B+;Utilities
