Period;Index;PortfolioSide;Strategy;NumObservations;CumulativeReturn;AnnualisedReturn;AnnualisedVolatility;SharpeRatio;HistoricalVaR95;MaxDrawdown
2015-2019;DAX;Benchmark;Benchmark_Equal;1274;38.79;6.7;17.07;0.408;1.76;-27.35
2015-2019;DAX;Benchmark;Benchmark_MCap;1236;37.59;6.72;17.48;0.404;1.8;-25.46
2015-2019;DAX;Bottom;Annual_BlackLitterman;1013;20.91;4.84;15.8;0.301;1.54;-21.6
2015-2019;DAX;Bottom;Annual_BlackLitterman_MinusBenchmark;988;-9.63;-2.55;10.95;-0.293;1.11;-22.89
2015-2019;DAX;Bottom;Annual_Equal;1267;53.44;8.89;16.79;0.533;1.67;-26.03
2015-2019;DAX;Bottom;Annual_Equal_MinusBenchmark;1267;9.21;1.77;6.14;0.157;0.65;-13.55
2015-2019;DAX;Bottom;Annual_MCap;1267;40.5;7.0;15.99;0.442;1.59;-18.76
2015-2019;DAX;Bottom;Annual_MCap_MinusBenchmark;1236;-1.22;-0.25;8.21;-0.109;0.83;-17.19
2015-2019;DAX;Bottom;Annual_RiskParity;1013;30.5;6.85;14.68;0.441;1.4;-17.82
2015-2019;DAX;Bottom;Annual_RiskParity_MinusBenchmark;988;1.68;0.43;7.81;-0.063;0.76;-14.0
2015-2019;DAX;Bottom;BuyHold_Equal;1267;33.46;5.91;17.45;0.36;1.83;-28.42
2015-2019;DAX;Bottom;BuyHold_Equal_MinusBenchmark;1267;-4.4;-0.89;5.88;-0.289;0.6;-14.42
2015-2019;DAX;Bottom;BuyHold_MCap;1267;43.52;7.45;16.6;0.457;1.7;-24.22
2015-2019;DAX;Bottom;BuyHold_MCap_MinusBenchmark;1236;0.14;0.03;7.5;-0.089;0.74;-15.41
2015-2019;DAX;Top;Annual_BlackLitterman;1020;76.91;15.14;17.69;0.816;1.77;-21.0
2015-2019;DAX;Top;Annual_BlackLitterman_MinusBenchmark;988;41.43;9.24;10.49;0.779;0.97;-12.08
2015-2019;DAX;Top;Annual_Equal;1274;61.15;9.9;18.29;0.554;1.89;-28.79
2015-2019;DAX;Top;Annual_Equal_MinusBenchmark;1274;16.54;3.07;5.38;0.407;0.51;-7.04
2015-2019;DAX;Top;Annual_MCap;1274;44.66;7.58;18.62;0.433;1.99;-32.77
2015-2019;DAX;Top;Annual_MCap_MinusBenchmark;1236;9.11;1.79;4.11;0.216;0.37;-9.08
2015-2019;DAX;Top;Annual_RiskParity;1020;45.63;9.73;16.08;0.582;1.67;-23.46
2015-2019;DAX;Top;Annual_RiskParity_MinusBenchmark;988;18.95;4.52;3.9;0.841;0.35;-4.38
2015-2019;DAX;Top;BuyHold_Equal;1267;63.82;10.31;19.05;0.559;1.96;-28.91
2015-2019;DAX;Top;BuyHold_Equal_MinusBenchmark;1267;18.85;3.49;6.56;0.407;0.58;-8.61
2015-2019;DAX;Top;BuyHold_MCap;1267;40.69;7.03;19.25;0.398;2.01;-33.36
2015-2019;DAX;Top;BuyHold_MCap_MinusBenchmark;1236;6.95;1.38;4.82;0.106;0.45;-9.08
2015-2019;DAX;TopMinusBottom;Annual_BlackLitterman;1013;41.21;8.96;15.59;0.55;1.44;-22.98
2015-2019;DAX;TopMinusBottom;Annual_Equal;1267;3.76;0.74;10.19;0.027;0.98;-24.36
2015-2019;DAX;TopMinusBottom;Annual_MCap;1267;2.4;0.47;10.8;0.007;1.1;-24.61
2015-2019;DAX;TopMinusBottom;Annual_RiskParity;1013;10.55;2.53;9.66;0.18;0.95;-21.0
2015-2019;DAX;TopMinusBottom;BuyHold_Equal;1267;21.35;3.92;10.21;0.332;0.95;-17.34
2015-2019;DAX;TopMinusBottom;BuyHold_MCap;1267;-2.43;-0.49;10.69;-0.084;1.05;-24.61
2015-2019;SP100;Benchmark;Benchmark_Equal;1258;67.81;10.93;13.22;0.776;1.42;-17.64
2015-2019;SP100;Benchmark;Benchmark_MCap;1224;61.14;10.32;13.73;0.713;1.48;-19.19
2015-2019;SP100;Bottom;Annual_BlackLitterman;1006;64.22;13.23;16.43;0.764;1.62;-26.8
2015-2019;SP100;Bottom;Annual_BlackLitterman_MinusBenchmark;979;2.87;0.73;9.75;-0.002;0.88;-18.72
2015-2019;SP100;Bottom;Annual_Equal;1258;83.02;12.87;15.59;0.792;1.53;-17.5
2015-2019;SP100;Bottom;Annual_Equal_MinusBenchmark;1258;9.58;1.85;7.04;0.156;0.65;-7.58
2015-2019;SP100;Bottom;Annual_MCap;1258;85.84;13.22;15.73;0.806;1.57;-21.85
2015-2019;SP100;Bottom;Annual_MCap_MinusBenchmark;1224;19.42;3.72;7.03;0.415;0.61;-9.66
2015-2019;SP100;Bottom;Annual_RiskParity;1006;75.03;15.05;15.04;0.926;1.47;-20.56
2015-2019;SP100;Bottom;Annual_RiskParity_MinusBenchmark;979;12.42;3.06;7.34;0.28;0.67;-8.54
2015-2019;SP100;Bottom;BuyHold_Equal;1258;80.95;12.61;14.7;0.815;1.54;-19.86
2015-2019;SP100;Bottom;BuyHold_Equal_MinusBenchmark;1258;8.06;1.57;5.74;0.128;0.56;-9.0
2015-2019;SP100;Bottom;BuyHold_MCap;1258;103.96;15.35;15.36;0.943;1.53;-19.35
