Period;Index;PortfolioSide;Strategy;NumMonths;Alpha_Monthly;Alpha_tstat;Alpha_pvalue;Beta_Mkt;Beta_SMB;Beta_HML;R_squared;Alpha_Annualised
2015-2019;DAX;Bottom;Annual_BlackLitterman;48;0.081;0.173;0.8629;0.381;0.557;0.055;0.217;0.97
2015-2019;DAX;Bottom;Annual_BlackLitterman_MinusBenchmark;48;0.02;0.05;0.9599;-0.534;0.852;0.16;0.321;0.244
2015-2019;DAX;Bottom;Annual_Equal;60;0.404;0.896;0.3703;0.687;-0.562;-0.338;0.422;4.848
2015-2019;DAX;Bottom;Annual_Equal_MinusBenchmark;60;0.1;0.379;0.7044;-0.208;0.247;-0.139;0.209;1.197
2015-2019;DAX;Bottom;Annual_MCap;60;0.219;0.503;0.6147;0.589;-0.589;-0.628;0.452;2.633
2015-2019;DAX;Bottom;Annual_MCap_MinusBenchmark;60;-0.041;-0.187;0.8519;-0.376;0.279;-0.375;0.463;-0.488
2015-2019;DAX;Bottom;Annual_RiskParity;48;0.129;0.366;0.7143;0.605;0.031;-0.153;0.431;1.548
2015-2019;DAX;Bottom;Annual_RiskParity_MinusBenchmark;48;0.154;0.491;0.6237;-0.341;0.349;-0.128;0.246;1.85
2015-2019;DAX;Bottom;BuyHold_Equal;60;0.054;0.114;0.9096;0.845;-0.282;-0.281;0.509;0.653
2015-2019;DAX;Bottom;BuyHold_Equal_MinusBenchmark;60;-0.256;-1.139;0.2548;-0.047;0.521;-0.083;0.226;-3.07
2015-2019;DAX;Bottom;BuyHold_MCap;60;0.184;0.416;0.6774;0.765;-0.464;-0.499;0.536;2.212
2015-2019;DAX;Bottom;BuyHold_MCap_MinusBenchmark;60;-0.135;-0.605;0.5453;-0.17;0.425;-0.251;0.294;-1.615
2015-2019;DAX;Top;Annual_BlackLitterman;48;0.67;1.241;0.2146;0.91;-0.5;-0.543;0.485;8.044
2015-2019;DAX;Top;Annual_BlackLitterman_MinusBenchmark;48;0.671;1.484;0.1378;0.019;-0.189;-0.609;0.155;8.056
2015-2019;DAX;Top;Annual_Equal;60;0.479;1.099;0.2718;1.025;-0.816;-0.108;0.595;5.747
2015-2019;DAX;Top;Annual_Equal_MinusBenchmark;60;0.154;0.891;0.3728;0.118;-0.013;0.093;0.094;1.853
2015-2019;DAX;Top;Annual_MCap;60;0.295;0.632;0.5275;1.069;-0.809;-0.081;0.581;3.543
2015-2019;DAX;Top;Annual_MCap_MinusBenchmark;60;-0.004;-0.033;0.9734;0.143;0.122;0.087;0.195;-0.05
