Date;Index;PortfolioSide;Strategy;PortfolioReturn
2016-01-04;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004252214660924097
2016-01-05;DAX;TopMinusBottom;Annual_BlackLitterman;0.0044462667071134
2016-01-06;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0035587753552331174
2016-01-07;DAX;TopMinusBottom;Annual_BlackLitterman;0.0037500330395539294
2016-01-08;DAX;TopMinusBottom;Annual_BlackLitterman;0.0003515391082618696
2016-01-11;DAX;TopMinusBottom;Annual_BlackLitterman;0.012890552690899613
2016-01-12;DAX;TopMinusBottom;Annual_BlackLitterman;0.01420641681925263
2016-01-13;DAX;TopMinusBottom;Annual_BlackLitterman;-0.01406092106226962
2016-01-14;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00018101277768625863
2016-01-15;DAX;TopMinusBottom;Annual_BlackLitterman;-0.007034888885741546
2016-01-18;DAX;TopMinusBottom;Annual_BlackLitterman;0.03155744154255159
2016-01-19;DAX;TopMinusBottom;Annual_BlackLitterman;0.0021211904215712486
2016-01-20;DAX;TopMinusBottom;Annual_BlackLitterman;0.017851566354352175
2016-01-21;DAX;TopMinusBottom;Annual_BlackLitterman;-0.014511468307063445
2016-01-22;DAX;TopMinusBottom;Annual_BlackLitterman;-0.007072124934074213
2016-01-25;DAX;TopMinusBottom;Annual_BlackLitterman;0.00877256914819782
2016-01-26;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0011354610978188194
2016-01-27;DAX;TopMinusBottom;Annual_BlackLitterman;-0.003886515922528741
2016-01-28;DAX;TopMinusBottom;Annual_BlackLitterman;0.003950825962902072
2016-01-29;DAX;TopMinusBottom;Annual_BlackLitterman;0.003827921926849543
2016-02-01;DAX;TopMinusBottom;Annual_BlackLitterman;0.009782916595059287
2016-02-02;DAX;TopMinusBottom;Annual_BlackLitterman;-0.009648429716823415
2016-02-03;DAX;TopMinusBottom;Annual_BlackLitterman;0.006258068170064513
2016-02-04;DAX;TopMinusBottom;Annual_BlackLitterman;-0.028428620804183836
2016-02-05;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0074652212504295705
2016-02-08;DAX;TopMinusBottom;Annual_BlackLitterman;-0.01973797777802972
2016-02-09;DAX;TopMinusBottom;Annual_BlackLitterman;0.015897208345105544
2016-02-10;DAX;TopMinusBottom;Annual_BlackLitterman;-0.008317643158661882
2016-02-11;DAX;TopMinusBottom;Annual_BlackLitterman;0.026507741431731943
2016-02-12;DAX;TopMinusBottom;Annual_BlackLitterman;-0.014480882306122787
2016-02-15;DAX;TopMinusBottom;Annual_BlackLitterman;-0.002288111682123936
2016-02-16;DAX;TopMinusBottom;Annual_BlackLitterman;0.002962252956635579
2016-02-17;DAX;TopMinusBottom;Annual_BlackLitterman;0.008957777655888587
2016-02-18;DAX;TopMinusBottom;Annual_BlackLitterman;0.0032044213118144135
2016-02-19;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0005307162121464819
2016-02-22;DAX;TopMinusBottom;Annual_BlackLitterman;-0.014692376267671267
2016-02-23;DAX;TopMinusBottom;Annual_BlackLitterman;0.005300651421330037
2016-02-24;DAX;TopMinusBottom;Annual_BlackLitterman;-0.012097464703195754
2016-02-25;DAX;TopMinusBottom;Annual_BlackLitterman;0.006180778584762403
2016-02-26;DAX;TopMinusBottom;Annual_BlackLitterman;-0.01093837789241131
2016-02-29;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004222352308168267
2016-03-01;DAX;TopMinusBottom;Annual_BlackLitterman;0.0076860367933751575
2016-03-02;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0034659657313259418
2016-03-03;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004046860771572793
2016-03-04;DAX;TopMinusBottom;Annual_BlackLitterman;0.0032954123160002374
2016-03-07;DAX;TopMinusBottom;Annual_BlackLitterman;0.00414820415577854
2016-03-08;DAX;TopMinusBottom;Annual_BlackLitterman;-0.00902774243564718
2016-03-09;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0014612943617165804
2016-03-10;DAX;TopMinusBottom;Annual_BlackLitterman;0.005360167809041198
2016-03-11;DAX;TopMinusBottom;Annual_BlackLitterman;-0.014133132397840614
2016-03-14;DAX;TopMinusBottom;Annual_BlackLitterman;0.012608000228915683
2016-03-15;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0008059022345941338
2016-03-16;DAX;TopMinusBottom;Annual_BlackLitterman;-6.574512495131739e-05
2016-03-17;DAX;TopMinusBottom;Annual_BlackLitterman;0.005166654202317968
2016-03-18;DAX;TopMinusBottom;Annual_BlackLitterman;0.011710066118931325
2016-03-21;DAX;TopMinusBottom;Annual_BlackLitterman;0.0031492446662842013
2016-03-22;DAX;TopMinusBottom;Annual_BlackLitterman;0.007465418130820849
2016-03-23;DAX;TopMinusBottom;Annual_BlackLitterman;0.01102427043437949
2016-03-24;DAX;TopMinusBottom;Annual_BlackLitterman;0.010394413436356113
2016-03-29;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004694995719373132
2016-03-30;DAX;TopMinusBottom;Annual_BlackLitterman;0.0015822167567384662
2016-03-31;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004745757131072585
2016-04-01;DAX;TopMinusBottom;Annual_BlackLitterman;0.004116455245742749
2016-04-04;DAX;TopMinusBottom;Annual_BlackLitterman;0.003609474250131148
2016-04-05;DAX;TopMinusBottom;Annual_BlackLitterman;-0.0020695605687456025
2016-04-06;DAX;TopMinusBottom;Annual_BlackLitterman;0.005758701547000835
2016-04-07;DAX;TopMinusBottom;Annual_BlackLitterman;-0.005976286174249754
2016-04-08;DAX;TopMinusBottom;Annual_BlackLitterman;-0.01076774594553721
2016-04-11;DAX;TopMinusBottom;Annual_BlackLitterman;-0.007024837328415868
2016-04-12;DAX;TopMinusBottom;Annual_BlackLitterman;0.0008168558061967396
2016-04-13;DAX;TopMinusBottom;Annual_BlackLitterman;-0.005093846345582855
2016-04-14;DAX;TopMinusBottom;Annual_BlackLitterman;0.005909458257104638
2016-04-15;DAX;TopMinusBottom;Annual_BlackLitterman;0.0005363267830669882
2016-04-18;DAX;TopMinusBottom;Annual_BlackLitterman;0.013607679978287136
2016-04-19;DAX;TopMinusBottom;Annual_BlackLitterman;0.00473704514145643
2016-04-20;DAX;TopMinusBottom;Annual_BlackLitterman;-0.004230304230290633
2016-04-21;DAX;TopMinusBottom;Annual_BlackLitterman;0.007205814816063458
2016-04-22;DAX;TopMinusBottom;Annual_BlackLitterman;0.0043070117615434935
