Date;Name;ISIN;MarketCap;ESGScore;ESGGrade;EconomicSector;Index;RebalanceDate;HoldingPeriodEnd;Eligible;PortfolioSide;ESGRankWithinSide;Weight_BL;BL_NumAssets
2016-01-01;VONOVIA SE;DE000A1ML7J1;13304313481.0;23.7781;D+;Real Estate;DAX;2016-01-04;2016-12-30;True;Bottom;1;0.0;10
2016-01-01;K S NA/d;DE000KSAG888;4520868000.0;37.923;C;Basic Materials;DAX;2016-01-04;2016-12-30;True;Bottom;2;0.0;10
2016-01-01;FRESENIUS SE ORD;DE0005785604;35954589413.0;46.4804;C+;Healthcare;DAX;2016-01-04;2016-12-30;True;Bottom;3;0.0;10
2016-01-01;BEIERSDORF ORD;DE0005200000;21208320000.0;56.1199;B-;Consumer Non-Cyclicals;DAX;2016-01-04;2016-12-30;True;Bottom;4;1.433179746754276e-17;10
2016-01-01;COMMERZBANK KONV;DE000CBK1001;11987567273.0;62.7912;B;Financials;DAX;2016-01-04;2016-12-30;True;Bottom;5;0.0;10
2016-01-01;DT BOERSE N/d;DE0005810055;15708270000.0;66.311;B;Financials;DAX;2016-01-04;2016-12-30;True;Bottom;6;0.0;10
2016-01-01;THYSSEN-KRUPP ORD;DE0007500001;7796319278.0;66.8004;B+;Basic Materials;DAX;2016-01-04;2016-12-30;True;Bottom;7;0.0;10
2016-01-01;LUFTHANSA ORD;DE0008232125;6766003775.0;67.4013;B+;Industrials;DAX;2016-01-04;2016-12-30;True;Bottom;8;0.1156663229923635;10
2016-01-01;FRESENIUS MEDICAL CARE ORD;DE0005785802;24317644881.0;68.917;B+;Healthcare;DAX;2016-01-04;2016-12-30;True;Bottom;9;4.912791094074941e-18;10
2016-01-01;MUNICH RE ORD;DE0008430026;30791053003.0;69.8719;B+;Financials;DAX;2016-01-04;2016-12-30;True;Bottom;10;0.8843336770076364;10
2016-01-01;ADIDAS ORD;DE000A1EWWW0;18810627283.0;93.5041;A+;Consumer Cyclicals;DAX;2016-01-04;2016-12-30;True;Top;1;0.33789404767674996;10
2016-01-01;DAIMLER ORD;DE0007100000;69514882355.0;93.0302;A+;Consumer Cyclicals;DAX;2016-01-04;2016-12-30;True;Top;2;1.5533878806101658e-18;10
2016-01-01;SAP SE ORD;DE0007164600;89655074229.0;90.5546;A;Technology;DAX;2016-01-04;2016-12-30;True;Top;3;0.47927434837947647;10
2016-01-01;ALLIANZ SE ORD;DE0008404005;74742350000.0;88.4617;A;Financials;DAX;2016-01-04;2016-12-30;True;Top;4;0.18283160394377354;10
